"tinh","huyen","xa","diaban","hoso","m4b31ma","m4b31c3","m4b31c4","m4b31c5","m4b32c7","m4b32c8","m4b32c9","m4b32c10","m4b32c11","m4b32c12","m4b32c13","m4b32c14","m4b32c15","m4b32c16","m4b32c17"
"217","07","39","006",13,"Cµy xíi, lµm ®Êt",3,720,2160,0,39,0,0,417,0,0,0,0,0,456
"217","11","09","004",15,"Tuèt lóa, s¬ chÕ SP",2,9000,18000,0,200,6000,200,600,0,0,0,0,300,7300
"217","12","19","004",14,"Cµy xíi, lµm ®Êt",2,150,300,0,5,0,0,50,0,0,0,0,0,55
"217","19","59","007",14,"Cµy xíi, lµm ®Êt",10,120,1200,62,45,300,15,100,0,0,0,0,0,522
"217","19","59","007",19,"DV kh¸c",12,75,900,180,25,30,0,100,0,0,0,0,0,335
"221","09","39","005",14,"Tuèt lóa, s¬ chÕ SP",3,2000,6000,0,60,1200,240,600,0,0,370,0,0,2470
"221","15","25","020",13,"Tuèt lóa, s¬ chÕ SP",2,3000,6000,0,20,1100,0,350,0,0,0,0,0,1470
"221","15","31","016",13,"Tuèt lóa, s¬ chÕ SP",2,5000,10000,0,100,2500,100,600,0,1500,678,0,0,5478
"221","17","17","011",14,"DV kh¸c",12,1200,14400,4500,150,0,0,1000,0,0,0,0,250,5900
"302","13","09","004",13,"Cµy xíi, lµm ®Êt",3,1000,3000,0,200,480,150,175,0,0,273,0,0,1278
"305","10","15","002",15,"Cµy xíi, lµm ®Êt",2,1000,2000,0,0,600,60,200,0,0,0,0,0,860
"305","11","35","003",15,"Cµy xíi, lµm ®Êt",2,3200,6400,0,220,1672,120,1000,0,600,0,0,90,3702
"305","13","27","001",15,"Tuèt lóa, s¬ chÕ SP",2,5000,10000,200,200,2000,100,500,0,700,0,0,300,4000
"305","13","27","001",15,"Cµy xíi, lµm ®Êt",2,3000,6000,300,150,900,200,500,0,600,0,0,150,2800
"305","15","07","008",13,"Tuèt lóa, s¬ chÕ SP",1,800,800,0,0,140,0,0,150,0,0,0,0,290
"305","15","57","004",19,"Cµy xíi, lµm ®Êt",2,250,500,0,0,0,0,97,0,0,0,0,0,97
"305","19","09","005",14,"Cµy xíi, lµm ®Êt",3,2000,6000,100,150,1550,150,500,0,0,50,0,0,2500
"401","29","23","014",13,"Cµy xíi, lµm ®Êt",4,1750,7000,0,20,1860,420,668,0,670,0,0,0,3638
"401","39","41","003",14,"Cµy xíi, lµm ®Êt",3,140,420,90,20,0,0,100,0,0,0,0,0,210
"401","41","29","003",19,"Cµy xíi, lµm ®Êt",2,3000,6000,0,150,1600,300,550,0,0,0,0,0,2600
"401","43","41","001",15,"Cµy xíi, lµm ®Êt",3,1950,5850,0,0,1050,250,450,0,0,200,0,0,1950
"401","45","17","008",19,"Cµy xíi, lµm ®Êt",6,1100,6600,0,50,2949,0,1211,0,0,504,0,0,4714
"401","51","59","008",13,"Tuèt lóa, s¬ chÕ SP",2,1700,3400,0,50,1150,0,350,0,300,0,0,0,1850
"401","51","59","008",15,"Cµy xíi, lµm ®Êt",2,3200,6400,0,150,1100,100,500,0,500,0,0,0,2350
"403","17","51","011",15,"Tuèt lóa, s¬ chÕ SP",2,2500,5000,0,30,2000,50,50,0,0,0,0,0,2130
"403","23","11","013",13,"DV kh¸c",12,800,9600,3960,0,960,0,325,0,0,0,0,50,5295
"403","23","39","003",15,"Tuèt lóa, s¬ chÕ SP",2,1380,2760,0,0,380,0,100,0,0,0,0,0,480
"405","03","01","001",13,"Cµy xíi, lµm ®Êt",2,5300,10600,0,20,600,150,300,0,1000,340,0,100,2510
"405","07","03","005",24,"DV kh¸c",2,100,200,0,20,0,0,0,0,0,0,0,0,20
"405","07","33","002",19,"Cµy xíi, lµm ®Êt",4,2500,10000,0,100,-2,-2,800,0,400,0,0,-2,4500
"405","13","17","003",15,"Cµy xíi, lµm ®Êt",2,350,700,0,30,0,0,100,0,0,0,0,0,130
"405","13","85","004",14,"Cµy xíi, lµm ®Êt",3,1000,3000,0,30,1000,0,100,0,0,0,0,0,1130
"405","19","29","008",14,"Tuèt lóa, s¬ chÕ SP",2,2750,5500,0,0,1000,400,100,0,0,0,0,0,1500
"407","09","15","018",15,"Cµy xíi, lµm ®Êt",2,1080,2160,0,50,0,100,320,0,0,0,0,0,470
"407","13","21","007",13,"Cµy xíi, lµm ®Êt",3,1730,5190,0,120,0,0,200,0,0,0,0,0,320
"407","13","21","007",20,"Cµy xíi, lµm ®Êt",2,2600,5200,0,0,0,200,400,0,0,0,0,0,600
"407","13","33","002",14,"Cµy xíi, lµm ®Êt",6,800,4800,0,120,0,0,200,0,0,0,0,0,320
"409","01","11","005",14,"Cµy xíi, lµm ®Êt",3,1500,4500,0,100,1200,300,200,0,0,0,0,0,1800
"409","01","11","005",14,"Tuèt lóa, s¬ chÕ SP",3,600,1800,0,200,400,200,200,0,0,0,0,0,1000
"409","05","29","001",15,"Cµy xíi, lµm ®Êt",8,562,4496,0,100,0,20,500,0,0,195,0,150,965
"409","07","37","005",13,"Tuèt lóa, s¬ chÕ SP",2,2000,4000,0,100,900,250,500,0,0,0,0,0,1750
"409","11","25","004",15,"Cµy xíi, lµm ®Êt",2,2400,4800,0,0,1000,250,800,0,0,300,0,100,2450
"411","03","27","004",13,"DV kh¸c",12,1200,14400,400,80,250,0,100,0,0,0,0,0,830
"411","05","01","003",14,"DV kh¸c",12,487,5844,0,50,1200,500,500,0,0,0,0,0,2250
"411","05","01","003",14,"Tuèt lóa, s¬ chÕ SP",2,3600,7200,0,0,2580,300,1750,0,0,0,0,0,4630
